PtsOther,Negative Image Side (1=L and 0=R),StartPos (starting position of the avatar),EndPos (end position of the avatar),InitialRT (reaction time for initial response),TotalRT (total time until they lock in response will be 4 seconds if they do not lock in),OutcomePts (Pts received),OutcomeImage (image shown),Piname (name of positive image file),Niname (name of negative image file),Paname (name of positive audio file),Naname (name of negative audio file),Oscillations (# made opposite movement from last)
0,L,-2,-3,2598,3860,2,images/NI/3181_BatteredFem.gif,images/PI/2383_Secretary.gif,images/NI/3181_BatteredFem.gif,sounds/IADSPA/705_RotaryDial.mp3,sounds/IADSNA/290_Fight.mp3,1
6,R,4,-4,859,2706,0,images/PI/2352_1_Kiss.gif,images/PI/2352_1_Kiss.gif,images/NI/2352_2_BloodyKiss.gif,sounds/Freesound/FemaleLaughter1.mp3,sounds/IADSNA/277_FemScream3.mp3,1
0,L,-2,4,1060,2422,2,images/PI/2515_Harvest.gif,images/PI/2515_Harvest.gif,images/PI/2515_Harvest.gif,sounds/IADSPA/810_Beethoven.mp3,sounds/IADSPA/810_Beethoven.mp3,1
0,R,4,4,0,1062,4,images/NI/3010_mutilation.gif,images/PI/2010_Adult.gif,images/NI/3010_mutilation.gif,sounds/Freesound/manlaugh.mp3,sounds/Freesound/KnifeSharpen.mp3,0
0,L,3,-3,550,1694,0,images/NI/3350_Infant.gif,images/PI/2058_Baby.gif,images/NI/3350_Infant.gif,sounds/IADSPA/111_MusicBox.mp3,sounds/Freesound/babycry.mp3,1
0,R,2,3,1557,1815,2,images/NI/3500_Attack.gif,images/PI/8497_CarnivalRide.gif,images/NI/3500_Attack.gif,sounds/IADSPA/360_RollerCoaster.mp3,sounds/IADSNA/286_Victim.mp3,1
4,L,0,0,0,1754,0,images/PI/2340_Family.gif,images/PI/2340_Family.gif,images/NI/9400_Soldier.gif,sounds/Freesound/Manlaughing_hard.mp3,sounds/IADSNA/706_War.mp3,0
2,L,3,-4,485,1944,0,images/PI/7620_Jet.gif,images/PI/7620_Jet.gif,images/PI/7620_Jet.gif,sounds/IADSPA/400_Jet.mp3,sounds/IADSPA/400_Jet.mp3,1
0,R,3,3,0,968,0,images/PI/4533_AttractiveMan.gif,images/PI/4533_AttractiveMan.gif,images/NI/3120_DeadBody.gif,sounds/IADSPA/815_RocknRoll.mp3,sounds/Freesound/KnifeSharpen.mp3,0
0,L,2,-3,899,1921,6,images/NI/3301_InjuredChild.gif,images/PI/2250_NeutBaby.gif,images/NI/3301_InjuredChild.gif,sounds/Freesound/GirlLaugh.mp3,sounds/AudioMicro/WomanCrying.mp3,1
0,L,0,-3,583,1193,2,images/PI/8400_Rafters.gif,images/PI/8400_Rafters.gif,images/PI/8400_Rafters.gif,sounds/Freesound/waterfall.mp3,sounds/Freesound/waterfall.mp3,1
4,L,4,0,702,1815,0,images/PI/8380_Athletes.gif,images/PI/8380_Athletes.gif,images/NI/6821_Gang.gif,sounds/IADSPA/351_Applause.mp3,sounds/IADSNA/292_MaleScream.mp3,1
0,R,2,-3,914,1820,0,images/PI/2030_Woman.gif,images/PI/2030_Woman.gif,images/NI/3061_Mutilation.gif,sounds/Freesound/FemaleLaughter1.mp3,sounds/IADSNA/276_FemScream2.mp3,1
0,R,1,4,0,1742,6,images/NI/9050_PlaneCrash.gif,images/PI/8340_Plane.gif,images/NI/9050_PlaneCrash.gif,sounds/Freesound/Propeller.mp3,sounds/IADSNA/501_PlaneCrash.mp3,0
0,L,-4,-4,0,1733,4,images/NI/2141_GrievingFem.gif,images/PI/2620_Woman.gif,images/NI/2141_GrievingFem.gif,sounds/IADSPA/816_Guitar.mp3,sounds/AudioMicro/WomanCrying.mp3,0
0,L,2,4,972,1599,2,images/PI/2791_Balloons.gif,images/PI/2791_Balloons.gif,images/PI/2791_Balloons.gif,sounds/Freesound/Organ2.mp3,sounds/Freesound/Organ2.mp3,1
0,R,-4,2,895,2076,2,images/NI/9410_Soldier.gif,images/PI/2150_Baby.gif,images/NI/9410_Soldier.gif,sounds/IADSPA/111_MusicBox.mp3,sounds/Freesound/panic&pain.mp3,1
0,R,-1,2,705,1450,6,images/NI/9911_CarAccident.gif,images/PI/7140_Bus.gif,images/NI/9911_CarAccident.gif,sounds/IADSPA/820_FunkMusic.mp3,sounds/IADSNA/424_CarWreck.mp3,1
0,L,-3,-4,729,949,2,images/NI/9420_Soldier.gif,images/PI/8080_Sailing.gif,images/NI/9420_Soldier.gif,sounds/SimplyTheBest/oceanwaves.mp3,sounds/IADSNA/706_War.mp3,1
0,L,-1,2,781,1656,0,images/PI/8461_HappyTeens.gif,images/PI/8461_HappyTeens.gif,images/NI/9433_DeadMan.gif,sounds/IADSPA/226_Laughing.mp3,sounds/Freesound/Fall_Screaming.mp3,1
2,L,-3,3,809,3184,0,images/PI/1540_Cat.gif,images/PI/1540_Cat.gif,images/PI/1540_Cat.gif,sounds/Freesound/catpurring.mp3,sounds/Freesound/catpurring.mp3,1
0,R,-2,4,688,2394,6,images/NI/9520_Kids.gif,images/PI/2216_Children.gif,images/NI/9520_Kids.gif,sounds/IADSPA/112_KidsinPark.mp3,sounds/IADSNA/712_Buzzer.mp3,1
0,L,1,-1,420,917,2,images/NI/3530_Attack.gif,images/PI/2370_ThreeMen.gif,images/NI/3530_Attack.gif,sounds/IADSPA/221_MaleLaugh.mp3,sounds/IADSNA/286_Victim.mp3,1
0,L,1,4,932,1779,2,images/PI/2510_ElderlyWoman.gif,images/PI/2510_ElderlyWoman.gif,images/PI/2510_ElderlyWoman.gif,sounds/Freesound/foxtrot.mp3,sounds/Freesound/foxtrot.mp3,1
6,L,4,-1,687,2477,0,images/PI/2389_Teens.gif,images/PI/2389_Teens.gif,images/NI/9910_AutoAccident.gif,sounds/IADSPA/815_RocknRoll.mp3,sounds/IADSNA/424_Carwreck.mp3,1
0,R,-1,4,743,1687,4,images/NI/3064_Mutilation.gif,images/PI/2560_Picnic.gif,images/NI/3064_Mutilation.gif,sounds/IADSPA/230_Giggling.mp3,sounds/IADSNA/276_FemScream2.mp3,1
2,L,-1,-2,614,944,0,images/PI/2510_ElderlyWoman.gif,images/PI/2510_ElderlyWoman.gif,images/NI/3230_DyingMan.gif,sounds/IADSPA/151_Cardinal.mp3,sounds/Freesound/EKG.mp3,1
0,R,-4,-4,0,1212,0,images/PI/2020_Adult.gif,images/PI/2020_Adult.gif,images/NI/3060_Mutilation.gif,sounds/Freesound/Manlaughing_hard.mp3,sounds/Freesound/allinpain.mp3,0
0,L,0,-4,495,2066,6,images/NI/3130_Mutilation.gif,images/PI/8130_PoleVaulter.gif,images/NI/3130_Mutilation.gif,sounds/IADSPA/352_SportsCrowd.mp3,sounds/Freesound/mandying.mp3,2
0,L,-1,-4,749,1515,2,images/PI/2580_Chess.gif,images/PI/2580_Chess.gif,images/PI/2580_Chess.gif,sounds/Freesound/mansighs.mp3,sounds/Freesound/mansighs.mp3,1
0,R,1,2,692,1503,4,images/NI/6560_Attack.gif,images/PI/4603_Romance.gif,images/NI/6560_Attack.gif,sounds/IADSPA/230_Giggling.mp3,sounds/IADSNA/279_Attack1.mp3,1
0,R,2,2,0,675,6,images/NI/9421_Soldier.gif,images/PI/2501_Couple.gif,images/NI/9421_Soldier.gif,sounds/Freesound/Gullsbythesea.mp3,sounds/AudioMicro/ManCrying.mp3,0
0,L,1,1,0,1783,0,images/PI/2485_Man.gif,images/PI/2485_Man.gif,images/NI/3080_Mutilation.gif,sounds/IADSPA/811_Bach.mp3,sounds/IADSNA/287_CardiacArrest.mp3,0
0,R,0,4,615,1561,2,images/NI/3102_BurnVictim.gif,images/PI/8280_Diver.gif,images/NI/3102_BurnVictim.gif,sounds/PartnersinRhyme/Cheer.mp3,sounds/Freesound/Anguish.mp3,1
0,R,0,0,0,1068,0,images/PI/2208_Bride.gif,images/PI/2208_Bride.gif,images/NI/9921_Fire.gif,sounds/IADSPA/820_FunkMusic.mp3,sounds/Freesound/Hellfire.mp3,0
0,L,1,-4,856,1899,2,images/PI/8465_Runner.gif,images/PI/8465_Runner.gif,images/PI/8465_Runner.gif,sounds/Freesound/heavybreathing.mp3,sounds/Freesound/heavybreathing.mp3,1
0,L,-2,-4,856,1487,6,images/NI/2800_SadChild.gif,images/PI/2240_NeutChild.gif,images/NI/2800_SadChild.gif,sounds/IADSPA/225_ClapGame.mp3,sounds/Freesound/three_chords.mp3,1
0,L,4,4,1226,4000,0,images/NI/6350_Attack.gif,images/PI/4700_Couple.gif,images/NI/6350_Attack.gif,sounds/Freesound/mansighs.mp3,sounds/IADSNA/285_Attack2.mp3,2
0,R,4,4,0,837,2,images/NI/9265_HungMan.gif,images/PI/8050_Rower.gif,images/NI/9265_HungMan.gif,sounds/Freesound/rower.mp3,sounds/Freesound/mandying.mp3,0
0,R,3,3,0,938,4,images/NI/3150_Mutilation.gif,images/PI/7503_carddealer.gif,images/NI/3150_Mutilation.gif,sounds/IADSPA/361_Restaurant.mp3,sounds/Freesound/panic&pain.mp3,0
0,L,3,-2,631,1589,2,images/NI/9252_DeadBody.gif,images/PI/7496_Street.gif,images/NI/9252_DeadBody.gif,sounds/Freesound/Tibetstreet.mp3,sounds/IADSNA/292_MaleScream.mp3,1
0,R,-2,-4,1422,1794,0,images/PI/8040_Diver.gif,images/PI/8040_Diver.gif,images/NI/3110_BurnVictim.gif,sounds/IADSPA/351_Applause.mp3,sounds/IADSNA/277_FemScream3.mp3,1
0,L,-1,-4,629,1203,4,images/NI/2205_Hospital.gif,images/PI/1340_Women.gif,images/NI/2205_Hospital.gif,sounds/IADSPA/226_Laughing.mp3,sounds/IADSNA/287_CardiacArrest.mp3,1
0,L,4,4,0,1081,2,images/PI/2655_Child.gif,images/PI/2655_Child.gif,images/PI/2655_Child.gif,sounds/Freesound/4yroldchild_laugh.mp3,sounds/Freesound/4yroldchild_laugh.mp3,0
0,L,-1,-4,1190,1963,6,images/NI/3062_Mutilation.gif,images/PI/2500_Man.gif,images/NI/3062_Mutilation.gif,sounds/IADSPA/270_Whistling.mp3,sounds/Freesound/Anguish.mp3,1
4,R,-3,-2,819,1882,0,images/PI/2383_Secretary.gif,images/PI/2383_Secretary.gif,images/NI/3181_BatteredFem.gif,sounds/IADSPA/705_RotaryDial.mp3,sounds/IADSNA/290_Fight.mp3,1
0,L,-4,3,1163,3435,0,images/PI/2352_1_Kiss.gif,images/PI/2352_1_Kiss.gif,images/NI/2352_2_BloodyKiss.gif,sounds/Freesound/FemaleLaughter1.mp3,sounds/IADSNA/277_FemScream3.mp3,1
0,R,-4,4,642,2035,4,images/NI/3010_mutilation.gif,images/PI/2010_Adult.gif,images/NI/3010_mutilation.gif,sounds/Freesound/manlaugh.mp3,sounds/Freesound/KnifeSharpen.mp3,1
2,L,0,4,1189,2005,0,images/PI/5720_FarmLand.gif,images/PI/5720_FarmLand.gif,images/PI/5720_FarmLand.gif,sounds/SimplyTheBest/crickets.mp3,sounds/SimplyTheBest/crickets.mp3,1
0,R,3,3,0,1087,2,images/NI/3350_Infant.gif,images/PI/2058_Baby.gif,images/NI/3350_Infant.gif,sounds/IADSPA/111_MusicBox.mp3,sounds/Freesound/babycry.mp3,0
0,L,1,-3,667,1411,4,images/NI/3500_Attack.gif,images/PI/8497_CarnivalRide.gif,images/NI/3500_Attack.gif,sounds/IADSPA/360_RollerCoaster.mp3,sounds/IADSNA/286_Victim.mp3,1
0,R,1,-4,1225,2499,0,images/PI/2340_Family.gif,images/PI/2340_Family.gif,images/NI/9400_Soldier.gif,sounds/Freesound/Manlaughing_hard.mp3,sounds/IADSNA/706_War.mp3,1
0,L,-4,-4,0,714,2,images/NI/3120_DeadBody.gif,images/PI/4533_AttractiveMan.gif,images/NI/3120_DeadBody.gif,sounds/IADSPA/815_RocknRoll.mp3,sounds/Freesound/KnifeSharpen.mp3,0
0,R,3,3,0,600,6,images/NI/3301_InjuredChild.gif,images/PI/2250_NeutBaby.gif,images/NI/3301_InjuredChild.gif,sounds/Freesound/GirlLaugh.mp3,sounds/AudioMicro/WomanCrying.mp3,0
0,L,4,-2,1171,2539,2,images/PI/8510_SportCar.gif,images/PI/8510_SportCar.gif,images/PI/8510_SportCar.gif,sounds/Freesound/ferrari.mp3,sounds/Freesound/ferrari.mp3,1
0,L,-3,-4,1020,2474,0,images/NI/6821_Gang.gif,images/PI/8380_Athletes.gif,images/NI/6821_Gang.gif,sounds/IADSPA/351_Applause.mp3,sounds/IADSNA/292_MaleScream.mp3,1
0,L,-2,-4,427,1154,2,images/PI/8420_Tubing.gif,images/PI/8420_Tubing.gif,images/PI/8420_Tubing.gif,sounds/SimplyTheBest/river.mp3,sounds/SimplyTheBest/river.mp3,1
0,R,-2,4,756,2029,4,images/NI/3061_Mutilation.gif,images/PI/2030_Woman.gif,images/NI/3061_Mutilation.gif,sounds/Freesound/FemaleLaughter1.mp3,sounds/IADSNA/276_FemScream2.mp3,1
0,R,-4,3,644,2735,6,images/NI/9050_PlaneCrash.gif,images/PI/8340_Plane.gif,images/NI/9050_PlaneCrash.gif,sounds/Freesound/Propeller.mp3,sounds/IADSNA/501_PlaneCrash.mp3,1
0,L,0,-4,603,1312,2,images/NI/2141_GrievingFem.gif,images/PI/2620_Woman.gif,images/NI/2141_GrievingFem.gif,sounds/IADSPA/816_Guitar.mp3,sounds/AudioMicro/WomanCrying.mp3,1
0,R,0,-4,2178,2926,0,images/PI/2150_Baby.gif,images/PI/2150_Baby.gif,images/NI/9410_Soldier.gif,sounds/IADSPA/111_MusicBox.mp3,sounds/Freesound/panic&pain.mp3,1
0,L,-4,4,943,2381,2,images/PI/8116_Football.gif,images/PI/8116_Football.gif,images/PI/8116_Football.gif,sounds/IADSPA/362_Football.mp3,sounds/IADSPA/362_Football.mp3,1
6,L,-4,-4,0,933,0,images/PI/7140_Bus.gif,images/PI/7140_Bus.gif,images/NI/9911_CarAccident.gif,sounds/IADSPA/820_FunkMusic.mp3,sounds/IADSNA/424_CarWreck.mp3,0
0,R,2,4,995,1487,4,images/NI/9420_Soldier.gif,images/PI/8080_Sailing.gif,images/NI/9420_Soldier.gif,sounds/SimplyTheBest/oceanwaves.mp3,sounds/IADSNA/706_War.mp3,1
0,R,-2,4,1098,2319,2,images/NI/9433_DeadMan.gif,images/PI/8461_HappyTeens.gif,images/NI/9433_DeadMan.gif,sounds/IADSPA/226_Laughing.mp3,sounds/Freesound/Fall_Screaming.mp3,1
0,L,-3,-4,555,926,4,images/NI/9520_Kids.gif,images/PI/2216_Children.gif,images/NI/9520_Kids.gif,sounds/IADSPA/112_KidsinPark.mp3,sounds/IADSNA/712_Buzzer.mp3,1
0,L,2,-3,615,1792,2,images/NI/3530_Attack.gif,images/PI/2370_ThreeMen.gif,images/NI/3530_Attack.gif,sounds/IADSPA/221_MaleLaugh.mp3,sounds/IADSNA/286_Victim.mp3,1
0,R,0,4,816,2126,6,images/NI/9910_AutoAccident.gif,images/PI/2389_Teens.gif,images/NI/9910_AutoAccident.gif,sounds/IADSPA/815_RocknRoll.mp3,sounds/IADSNA/424_Carwreck.mp3,1
0,L,3,4,528,1090,2,images/PI/2487_Musician.gif,images/PI/2487_Musician.gif,images/PI/2487_Musician.gif,sounds/Freesound/nylon2.mp3,sounds/Freesound/nylon2.mp3,1
0,L,2,2,0,1805,0,images/PI/2560_Picnic.gif,images/PI/2560_Picnic.gif,images/NI/3064_Mutilation.gif,sounds/IADSPA/230_Giggling.mp3,sounds/IADSNA/276_FemScream2.mp3,0
0,L,3,-4,1016,2444,6,images/NI/3230_DyingMan.gif,images/PI/2510_ElderlyWoman.gif,images/NI/3230_DyingMan.gif,sounds/IADSPA/151_Cardinal.mp3,sounds/Freesound/EKG.mp3,1
0,R,0,4,630,1443,4,images/NI/3060_Mutilation.gif,images/PI/2020_Adult.gif,images/NI/3060_Mutilation.gif,sounds/Freesound/Manlaughing_hard.mp3,sounds/Freesound/allinpain.mp3,1
0,R,1,4,712,1334,2,images/NI/3130_Mutilation.gif,images/PI/8130_PoleVaulter.gif,images/NI/3130_Mutilation.gif,sounds/IADSPA/352_SportsCrowd.mp3,sounds/Freesound/mandying.mp3,1
2,L,2,-4,1168,2233,0,images/PI/2310_Mother.gif,images/PI/2310_Mother.gif,images/PI/2310_Mother.gif,sounds/Freesound/eio.mp3,sounds/Freesound/eio.mp3,1
0,L,-2,4,978,2100,0,images/PI/4603_Romance.gif,images/PI/4603_Romance.gif,images/NI/6560_Attack.gif,sounds/IADSPA/230_Giggling.mp3,sounds/IADSNA/279_Attack1.mp3,1
2,R,-1,3,966,1785,0,images/PI/4598_Couple.gif,images/PI/4598_Couple.gif,images/NI/9421_Soldier.gif,sounds/Freesound/manlaugh.mp3,sounds/AudioMicro/ManCrying.mp3,1
0,L,2,-4,582,1932,4,images/NI/3080_Mutilation.gif,images/PI/2485_Man.gif,images/NI/3080_Mutilation.gif,sounds/IADSPA/811_Bach.mp3,sounds/IADSNA/287_CardiacArrest.mp3,1
0,L,-3,-4,646,1038,6,images/NI/3102_BurnVictim.gif,images/PI/8280_Diver.gif,images/NI/3102_BurnVictim.gif,sounds/PartnersinRhyme/Cheer.mp3,sounds/Freesound/Anguish.mp3,1
0,L,-3,-4,420,1080,2,images/PI/5455_Cockpit.gif,images/PI/5455_Cockpit.gif,images/PI/5455_Cockpit.gif,sounds/Freesound/atc6.mp3,sounds/Freesound/atc6.mp3,1
0,R,4,-4,1250,2754,0,images/NI/9921_Fire.gif,images/PI/2208_Bride.gif,images/NI/9921_Fire.gif,sounds/IADSPA/820_FunkMusic.mp3,sounds/Freesound/Hellfire.mp3,1
0,L,1,-4,500,1713,6,images/NI/2800_SadChild.gif,images/PI/2240_NeutChild.gif,images/NI/2800_SadChild.gif,sounds/IADSPA/225_ClapGame.mp3,sounds/Freesound/three_chords.mp3,1
0,R,-3,4,725,2084,2,images/NI/6350_Attack.gif,images/PI/4700_Couple.gif,images/NI/6350_Attack.gif,sounds/Freesound/mansighs.mp3,sounds/IADSNA/285_Attack2.mp3,1
0,L,-3,4,1305,2691,0,images/PI/8050_Rower.gif,images/PI/8050_Rower.gif,images/NI/9265_HungMan.gif,sounds/Freesound/rower.mp3,sounds/Freesound/mandying.mp3,1
0,L,-1,4,845,2221,2,images/PI/5201_Nature.gif,images/PI/5201_Nature.gif,images/PI/5201_Nature.gif,sounds/IADSPA/152_Tropical.mp3,sounds/IADSPA/152_Tropical.mp3,1
0,L,3,-4,513,1964,4,images/NI/3150_Mutilation.gif,images/PI/7503_carddealer.gif,images/NI/3150_Mutilation.gif,sounds/IADSPA/361_Restaurant.mp3,sounds/Freesound/panic&pain.mp3,1
0,R,-1,-4,1457,2169,0,images/PI/7496_Street.gif,images/PI/7496_Street.gif,images/NI/9252_DeadBody.gif,sounds/Freesound/Tibetstreet.mp3,sounds/IADSNA/292_MaleScream.mp3,1
0,L,-4,-4,0,1240,2,images/PI/2372_Woman.gif,images/PI/2372_Woman.gif,images/PI/2372_Woman.gif,sounds/Freesound/chalkwriting.mp3,sounds/Freesound/chalkwriting.mp3,0
0,R,-3,4,520,1846,6,images/NI/3110_BurnVictim.gif,images/PI/8040_Diver.gif,images/NI/3110_BurnVictim.gif,sounds/IADSPA/351_Applause.mp3,sounds/IADSNA/277_FemScream3.mp3,1
2,L,4,-4,570,2048,0,images/PI/1340_Women.gif,images/PI/1340_Women.gif,images/NI/2205_Hospital.gif,sounds/IADSPA/226_Laughing.mp3,sounds/IADSNA/287_CardiacArrest.mp3,1
0,L,-2,-4,652,1292,4,images/NI/3062_Mutilation.gif,images/PI/2500_Man.gif,images/NI/3062_Mutilation.gif,sounds/IADSPA/270_Whistling.mp3,sounds/Freesound/Anguish.mp3,1
